Epoch,Train_Loss,Validation_Loss
1,1.0166582990814377,1.0293383598327637
2,0.9694709009952374,0.9713307023048401
3,0.8860053711825305,0.8539940714836121
4,0.7608636438667595,0.7194970846176147
5,0.6247612065202123,0.578055739402771
6,0.5259699322678544,0.518912136554718
7,0.4783852621838376,0.49226510524749756
8,0.4487830364668334,0.4675913453102112
9,0.4277555206576148,0.4528031349182129
10,0.4130327141917384,0.4397408366203308
11,0.3997162051566012,0.43153804540634155
12,0.38517922577676594,0.4229843318462372
13,0.36994390832530605,0.41608166694641113
14,0.3537416070908517,0.4045499265193939
15,0.33705082359734,0.3943956196308136
16,0.32027907870911265,0.37474071979522705
17,0.3032751500129222,0.35382625460624695
18,0.28766597674654293,0.3303772509098053
19,0.2736141304592709,0.3071446120738983
20,0.26196989153061545,0.29103854298591614
21,0.2529431296003473,0.27691397070884705
22,0.24497283268738557,0.26172634959220886
23,0.23846414783695438,0.25264135003089905
24,0.23233599765403373,0.24214883148670197
25,0.22591876989609008,0.23092004656791687
26,0.21947707205980987,0.21869103610515594
27,0.21346607152465824,0.2094230204820633
28,0.20740363446322527,0.2021966427564621
29,0.202178341803608,0.1981542557477951
30,0.1966115870066472,0.19248519837856293
31,0.19114063548910487,0.187004953622818
32,0.1858952155521324,0.18143950402736664
33,0.18059318411994624,0.1785459965467453
34,0.17586361446060814,0.17383621633052826
35,0.17099974269384854,0.17459295690059662
36,0.1670564337297006,0.17210859060287476
37,0.16265942013120507,0.16751807928085327
38,0.1588025638559559,0.16629929840564728
39,0.15606248180369833,0.1648213416337967
40,0.1535141479085993,0.16239358484745026
41,0.15112783162443488,0.16265492141246796
42,0.14927769223371665,0.16087844967842102
43,0.14651748642429813,0.1580299735069275
44,0.14561980561510818,0.15930286049842834
45,0.14311334471385162,0.1585991382598877
46,0.14176378210445303,0.15707240998744965
47,0.14037932438386214,0.15640264749526978
48,0.13927015383262653,0.1559886336326599
49,0.13803619964493885,0.15345242619514465
50,0.13691458610204366,0.15286806225776672
51,0.13589427545592114,0.15173596143722534
52,0.135243877470195,0.15387828648090363
53,0.1341827170358406,0.15160085260868073
54,0.13346750621084455,0.15206056833267212
55,0.132863209292934,0.1524522751569748
56,0.13242978825643137,0.14853274822235107
57,0.13122112640329786,0.15071484446525574
58,0.13087207686763866,0.15045732259750366
59,0.13022379542852905,0.1484173834323883
60,0.12988586968428142,0.14673614501953125
61,0.12947040170550467,0.1491665244102478
62,0.1293523013740927,0.14916864037513733
63,0.1286070148150126,0.14823447167873383
64,0.12787675072958282,0.1468372344970703
65,0.12734776671166653,0.14692790806293488
66,0.12697807793413196,0.14620935916900635
67,0.12665200683179204,0.14596353471279144
68,0.1260677143200501,0.14535804092884064
69,0.12586041584655688,0.1471354365348816
70,0.12537134471568498,0.1438313126564026
71,0.12512545379342976,0.14546731114387512
72,0.12454474205011362,0.14591079950332642
73,0.12409093553895827,0.14461630582809448
74,0.1239217663029054,0.14445580542087555
75,0.1238272607594997,0.14159329235553741
76,0.1236832129570457,0.1439061015844345
77,0.12291969701245024,0.14383834600448608
78,0.12262537107393667,0.14224722981452942
79,0.12243108232100089,0.14060987532138824
80,0.12210265286751576,0.1412707269191742
81,0.12149260563028229,0.13986118137836456
82,0.12126998419876213,0.13944528996944427
83,0.1210619660319986,0.14060567319393158
84,0.12078845675464149,0.14029471576213837
85,0.12032222069121219,0.1402837485074997
86,0.12076423232918149,0.1404803991317749
87,0.11981185026712962,0.13871198892593384
88,0.11979363259073492,0.13956519961357117
89,0.11952747324774335,0.13785351812839508
90,0.119671685447743,0.13764679431915283
91,0.1192199442763109,0.13834267854690552
92,0.1189071991451987,0.13718298077583313
93,0.1185969078057521,0.13628198206424713
94,0.11835899947582183,0.1376735270023346
95,0.11842125830976097,0.13743026554584503
96,0.11779829870174835,0.13551518321037292
97,0.11765663817271337,0.13746649026870728
98,0.11754304201186479,0.13589583337306976
99,0.11787883055818689,0.13540902733802795
100,0.11736596665821515,0.13401737809181213
