Dataset,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Validation,0.7127492130115425,0.7534747622531089,0.8303103587263201,0.7900287631831256,0.7746240322014553
Test,0.7311122770199371,0.8134964775676677,0.8078055964653903,0.8106410493256974,0.7811156246304678
