K,Inertia,Silhouette_Score,Davies_Bouldin_Score,Smallest_Cluster_Size
2,32489.595282831226,0.29525413316390203,1.3726735508864683,2089
3,26102.10674734045,0.2654564337607067,1.304856000369469,597
4,22066.48310211693,0.2886710594733401,1.0876131956787085,99
5,18990.666497507933,0.25759365309692783,1.1252642781495987,99
6,16312.869475791524,0.28005581278225294,1.1043143185610298,99
7,14490.790997619019,0.29541270337334363,1.0335666819987634,99
8,13096.848366490814,0.2791218684805505,1.0790009074970088,99
