Model,Best_Parameters,Best_CV_ROC_AUC
LightGBM,"{'subsample': 1.0, 'num_leaves': 15, 'n_estimators': 300, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.829992735932245
SVM,"{'kernel': 'linear', 'gamma': 'scale', 'C': 0.1}",0.8257988860818163
