Epoch,Train_Loss,Validation_Loss
1,0.5380956995033829,0.49975353479385376
2,0.47916187674514493,0.4901714324951172
3,0.47994821697839984,0.48165392875671387
4,0.47264507345584655,0.4847465753555298
5,0.4747499795191146,0.48058047890663147
6,0.4712109399380464,0.487747460603714
7,0.47608565705092526,0.4875650405883789
8,0.4683415537856121,0.48495936393737793
9,0.4682730187134365,0.47904127836227417
10,0.4644335760946167,0.48109695315361023
11,0.4647757070283396,0.4860026240348816
12,0.46212726988245634,0.4879584014415741
13,0.4627239901592706,0.482138991355896
14,0.4614816874410549,0.4849657416343689
15,0.45727832698467497,0.4805046319961548
16,0.4589008461552959,0.48585179448127747
17,0.4684999558732685,0.48405370116233826
18,0.462007258478355,0.48172616958618164
19,0.45756378797145786,0.4853825271129608
