Dataset,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Validation,0.774365821094793,0.8113207547169812,0.8617234468937875,0.8357628765792031,0.8144048096192384
Test,0.7653333333333333,0.8045112781954887,0.856,0.8294573643410853,0.8093679999999999
